"date","cumul_total","cumul_shincheonji","cumul_low","d_tot","d_shin","d_low","daily_total","daily_shincheonji","daily_low"
2020-02-18,1,1,0,1,1,0,1,1,0
2020-02-19,11,9,2,10,8,2,10,8,2
2020-02-20,34,26,8,23,17,6,23,17,6
2020-02-21,79,63,16,45,37,8,45,37,8
2020-02-22,149,129,20,70,66,4,70,66,4
2020-02-23,297,237,60,148,108,40,148,108,40
2020-02-24,442,376,66,145,139,6,145,139,6
2020-02-25,499,407,92,57,31,26,57,31,26
2020-02-26,677,501,176,178,94,84,178,94,84
2020-02-27,1017,668.257583985398,348.742416014602,340,167.257583985398,172.742416014602,340,167.257583985398,172.742416014602
2020-02-28,1314,936.437910727892,377.562089272108,297,268.180326742494,28.8196732575062,297,268.180326742494,28.8196732575062
2020-02-29,2055,1356,699,741,419.562089272108,321.437910727892,741,419.562089272108,321.437910727892
2020-03-01,2576,1870,706,514,521,-7,521,514,7
2020-03-02,3088,2168.71729125574,919.282708744261,512,298.717291255739,213.282708744261,512,298.717291255739,213.282708744261
2020-03-03,3608,2332.36725722697,1275.63274277303,520,163.649965971235,356.350034028765,520,163.649965971235,356.350034028765
2020-03-04,4013,2576,1437,405,243.632742773026,161.367257226974,405,243.632742773026,161.367257226974
2020-03-05,4443,2897,1546,321,430,-109,430,321,109
2020-03-06,4827,3264,1563,367,384,-17,384,367,17
2020-03-07,5217,3583,1634,390,319,71,390,319,71
2020-03-08,5514,3749,1765,297,166,131,297,166,131
2020-03-09,5704,3874,1830,190,125,65,190,125,65
2020-03-10,5796,3926.57202121609,1869.42797878391,92,52.5720212160882,39.4279787839118,92,52.5720212160882,39.4279787839118
2020-03-11,5927,3943.08869610608,1983.91130389392,131,16.516674889996,114.483325110004,131,16.516674889996,114.483325110004
2020-03-12,6000,3993,2007,73,49.9113038939158,23.0886961060842,73,49.9113038939158,23.0886961060842
2020-03-13,6122.15510871289,4054,2068.15510871289,61,122.155108712892,-61.1551087128919,122.155108712892,61,61.1551087128919
2020-03-14,6233,4116,2117,62,110.844891287108,-48.8448912871081,110.844891287108,62,48.8448912871081
2020-03-15,6274,4134.98737169436,2139.01262830564,41,18.9873716943584,22.0126283056416,41,18.9873716943584,22.0126283056416
2020-03-16,6327.98737169436,4134.98737169436,2193,35,-18.9873716943584,53.9873716943584,53.9873716943584,0,53.9873716943584
2020-03-17,6359.98737169436,4138.98737169436,2221,32,4,28,32,4,28
2020-03-18,6405.98737169436,4138.98737169436,2267,46,0,46,46,0,46
2020-03-19,6502.98737169436,4143.98737169436,2359,97,5,92,97,5,92
2020-03-20,6536.98737169436,4144.98737169436,2392,34,1,33,34,1,33
2020-03-21,6605.98737169436,4144.98737169436,2461,69,0,69,69,0,69
2020-03-22,6648.98737169436,4156.98737169436,2492,43,12,31,43,12,31
2020-03-23,6672.98737169436,4158.98737169436,2514,24,2,22,24,2,22
2020-03-24,6703.98737169436,4158.98737169436,2545,31,0,31,31,0,31
2020-03-25,6717.98737169436,4162.98737169436,2555,14,4,10,14,4,10
2020-03-26,6743.98737169436,4166.98737169436,2577,26,4,22,26,4,22
2020-03-27,6777.98737169436,4166.98737169436,2611,34,0,34,34,0,34
2020-03-28,6848.98737169436,4175.98737169436,2673,71,9,62,71,9,62
2020-03-29,6882.25756220049,4198.98737169436,2683.27019050613,23,33.2701905061276,-10.2701905061276,33.2701905061276,23,10.2701905061276
2020-03-30,6915.98737169436,4212.98737169436,2703,14,33.7298094938724,-19.7298094938724,33.7298094938724,14,19.7298094938724
2020-03-31,6975.98737169436,4213.98737169436,2762,60,1,59,60,1,59
